year,month,행정구역별,생산량
2025,3,강원도,0.0
2025,3,경상북도,10.0
2025,3,경상남도,
2025,4,강원도,0.0
2025,4,경상북도,16.0
2025,4,경상남도,
2025,5,강원도,1.0
2025,5,경상북도,4.0
2025,5,경상남도,
2025,6,강원도,37.0
2025,6,경상북도,20.0
2025,6,경상남도,
2025,7,강원도,32.0
2025,7,경상북도,83.0
2025,7,경상남도,0.0
2025,8,강원도,3.0
2025,8,경상북도,2.0
2025,8,경상남도,
2025,9,강원도,2.0
2025,9,경상북도,4.0
2025,9,경상남도,1.0
2025,10,강원도,57.0
2025,10,경상북도,11.0
2025,10,경상남도,
2025,11,강원도,4.0
2025,11,경상북도,7.0
2025,11,경상남도,0.0
2025,12,강원도,1.0
2025,12,경상북도,6.0
2025,12,경상남도,0.0
